target_pkg,object_name,index,object_class,src_file,src_line_start,src_line_end
ggplot2,mean_sdl,446,function,R/stat-summary.r,197,208
ggplot2,GeomCol,447,GeomCol / GeomRect / Geom / ggproto / gg,NA,NA,NA
ggplot2,modifyList,448,function,R/performance.R,51,53
ggplot2,scale_size_discrete,449,function,R/scale-size.r,62,65
ggplot2,GeomAbline,450,GeomAbline / Geom / ggproto / gg,NA,NA,NA
ggplot2,collide,451,function,R/position-collide.r,33,67
ggplot2,validate_element,452,function,R/theme-elements.r,380,402
ggplot2,ggproto_parent,453,function,R/ggproto.r,97,99
ggplot2,element_line,454,function,R/theme-elements.r,83,93
ggplot2,poly_dir,455,function,R/stat-contour.r,110,114
ggplot2,draw_key_polygon,456,function,R/legend-draw.r,68,88
ggplot2,element_render,457,function,R/theme-elements.r,144,155
ggplot2,translate_shape_string,458,function,R/geom-point.r,140,227
ggplot2,scale_x_sqrt,459,function,R/scale-continuous.r,174,176
ggplot2,draw_key_rect,460,function,R/legend-draw.r,59,65
ggplot2,absoluteGrob,461,function,R/grob-absolute.r,8,17
ggplot2,weave_tables_row,462,function,R/facet-wrap.r,488,499
ggplot2,guide_grid,463,function,R/guides-grid.r,6,34
ggplot2,simplify_formula,464,function,R/compat-plyr.R,201,220
ggplot2,manual_scale,465,function,R/scale-manual.r,104,121
ggplot2,tolower,466,function,R/utilities.r,315,317
ggplot2,cut_number,467,function,R/utilities-break.r,30,35
ggplot2,wrap_hmisc,468,function,R/stat-summary.r,195,209
ggplot2,plot.ggplot,469,function,R/plot.r,156,180
ggplot2,scale_colour_grey,470,function,R/scale-grey.r,28,31
ggplot2,grobHeight.absoluteGrob,471,function,R/grob-absolute.r,21,23
ggplot2,is_position_aes,472,function,R/aes.r,183,185
ggplot2,scale_shape_continuous,473,function,R/scale-shape.r,57,59
ggplot2,StatBin2d,474,StatBin2d / Stat / ggproto / gg,NA,NA,NA
ggplot2,geom_linerange,475,function,R/geom-linerange.r,60,79
ggplot2,geom_raster,476,function,R/geom-raster.r,11,40
ggplot2,is.facet,477,function,R/facet-.r,237,237
ggplot2,element_rect,478,function,R/theme-elements.r,64,73
ggplot2,is.layer,479,function,R/layer.r,374,374
ggplot2,GeomLogticks,480,GeomLogticks / Geom / ggproto / gg,NA,NA,NA
ggplot2,matched_aes,481,function,R/guides-.r,332,338
ggplot2,bins,482,function,R/bin.R,1,22
ggplot2,layout_null,483,function,R/facet-.r,439,442
ggplot2,mean_cl_normal,484,function,R/stat-summary.r,197,208
ggplot2,fortify.grouped_df,485,function,R/fortify.r,33,39
ggplot2,fortify.function,486,function,R/fortify.r,28,28
ggplot2,ggplot_add.Facet,487,function,R/plot-construction.r,143,146
ggplot2,draw_key_vline,488,function,R/legend-draw.r,222,231
ggplot2,CoordQuickmap,489,CoordQuickmap / CoordCartesian / Coord / ggproto / gg,NA,NA,NA
ggplot2,label_just_defaults.legend,490,function,R/guide-legend.r,724,745
ggplot2,discrete_range,491,function,R/range.r,31,33
ggplot2,stat_sf,492,function,R/stat-sf.R,22,39
ggplot2,panel_cols,493,function,R/facet-.r,507,510
ggplot2,coord_flip,494,function,R/coord-flip.r,28,34
ggplot2,geom_errorbarh,495,function,R/geom-errorbarh.r,24,43
ggplot2,%|W|%,496,function,R/utilities.r,14,16
ggplot2,guides_merge,497,function,R/guides-.r,204,216
ggplot2,scale_shape,498,function,R/scale-shape.r,37,39
ggplot2,ggplot_add.Scale,499,function,R/plot-construction.r,108,111
